"","AccidentType_en","AccidentSeverityCategory_en","AccidentInvolvingPedestrian","AccidentInvolvingBicycle","AccidentInvolvingMotorcycle","RoadType_en","AccidentLocation_CHLV95_E","AccidentLocation_CHLV95_N","CantonCode","accident_dt_dummy","lubridate::floor_date(accident_dt_dummy, ""month"")","n_accidents_canton_month"
"1","accident_when_parking","accident_with_property_damage",FALSE,FALSE,FALSE,"other",2683598,1253507,"zh",2011-01-01 10:00:00,2011-01-01,967
"2","accident_when_turning-into_main_road","accident_with_property_damage",FALSE,FALSE,FALSE,"minor_road",2680708,1252618,"zh",2011-01-01 14:00:00,2011-01-01,967
"3","accident_when_turning_left_or_right","accident_with_light_injuries",FALSE,TRUE,FALSE,"minor_road",2681179,1247560,"zh",2011-01-01 08:00:00,2011-01-01,967
"4","accident_involving_pedestrian(s)","accident_with_light_injuries",TRUE,FALSE,FALSE,"principal_road",2679811,1246849,"zh",2011-01-01 18:00:00,2011-01-01,967
"5","accident_with_rear-end_collision","accident_with_light_injuries",FALSE,FALSE,FALSE,"minor_road",2682789,1247449,"zh",2011-01-01 09:00:00,2011-01-01,967
"6","accident_with_head-on_collision","accident_with_property_damage",FALSE,FALSE,FALSE,"minor_road",2680762,1250227,"zh",2011-01-01 14:00:00,2011-01-01,967
"7","accident_when_parking","accident_with_property_damage",FALSE,FALSE,FALSE,"minor_road",2678932,1249322,"zh",2011-01-01 17:00:00,2011-01-01,967
"8","accident_when_parking","accident_with_property_damage",FALSE,FALSE,FALSE,"minor_road",2684085,1246470,"zh",2011-01-01 23:00:00,2011-01-01,967
"9","accident_with_rear-end_collision","accident_with_light_injuries",FALSE,FALSE,FALSE,"minor_road",2683557,1252364,"zh",2011-01-01 17:00:00,2011-01-01,967
"10","accident_when_overtaking_or_changing_lanes","accident_with_property_damage",FALSE,FALSE,FALSE,"minor_road",2682494,1243677,"zh",2011-01-01 07:00:00,2011-01-01,967
